ID,AGENT,TYPE,CONFIDENCE,SECURITY
3264933329,Claude_Code,fix,10,1
3265118634,Claude_Code,refactor,9,0
3265640341,Claude_Code,feat,10,1
3265709660,Claude_Code,feat,10,1
3265782173,Claude_Code,chore,10,0
3231949586,Claude_Code,feat,10,1
3231950376,Claude_Code,feat,10,0
3231951012,Claude_Code,feat,10,0
3231951656,Claude_Code,feat,10,0
3231952364,Claude_Code,feat,10,0
3231953027,Claude_Code,feat,10,0
3231953757,Claude_Code,feat,10,0
3231954470,Claude_Code,feat,10,0
3231955292,Claude_Code,feat,10,0
3232028428,Claude_Code,build,9,0
3232844270,Claude_Code,feat,10,0
3234102722,Claude_Code,chore,10,0
3212961701,Claude_Code,fix,10,1
3214555104,Claude_Code,feat,9,0
3214724259,Claude_Code,feat,10,1
3214782537,Claude_Code,refactor,10,1
3214876564,Claude_Code,fix,10,1
3215730319,Claude_Code,fix,10,0
3215868710,Claude_Code,feat,10,0
3216678691,Claude_Code,docs,9,0
3216706697,Claude_Code,feat,10,1
3216793862,Claude_Code,fix,10,0
3164503419,Claude_Code,fix,10,1
3164567685,Claude_Code,fix,10,0
3164736230,Claude_Code,feat,10,1
3165023078,Claude_Code,refactor,9,0
3165060364,Claude_Code,feat,10,0
3165146820,Claude_Code,docs,10,0
3165176791,Claude_Code,feat,10,0
3165407647,Claude_Code,feat,10,0
3165431934,Claude_Code,feat,10,0
3165440543,Claude_Code,fix,10,0
3165441855,Claude_Code,fix,10,0
3165503646,Claude_Code,fix,10,0
3271660213,Claude_Code,feat,10,0
3271740125,Claude_Code,docs,10,0
3271748860,Claude_Code,fix,10,0
3271943252,Claude_Code,fix,10,0
3271988317,Claude_Code,feat,10,0
3272275087,Claude_Code,feat,10,0
3272397381,Claude_Code,fix,10,0
3272907868,Claude_Code,feat,10,1
3273233066,Claude_Code,feat,10,1
3273243547,Claude_Code,fix,10,0
3273580906,Claude_Code,fix,9,0
3273752719,Claude_Code,docs,10,0
3274038425,Claude_Code,fix,9,0
3219102497,Claude_Code,test,10,0
3219880512,Claude_Code,feat,10,1
3220223180,Claude_Code,fix,9,1
3220367089,Claude_Code,fix,10,1
3221520140,Claude_Code,fix,10,1
3222101465,Claude_Code,refactor,9,0
2876006908,Claude_Code,feat,10,0
2876533575,Claude_Code,fix,9,0
2882576893,Claude_Code,docs,10,0
2883083776,Claude_Code,docs,10,0
2883609845,Claude_Code,build,9,0
2886171819,Claude_Code,fix,10,0
2888099084,Claude_Code,chore,10,0
2888185420,Claude_Code,feat,9,0
2888657232,Claude_Code,fix,10,0
2889835337,Claude_Code,feat,10,1
2889875255,Claude_Code,feat,10,1
2889940236,Claude_Code,fix,10,0
2889940415,Claude_Code,feat,10,1
2892364501,Claude_Code,feat,9,1
2892443818,Claude_Code,feat,9,0
2894762370,Claude_Code,feat,10,0
3246635062,Claude_Code,feat,10,0
3246680171,Claude_Code,docs,9,0
3246681942,Claude_Code,build,9,0
3246684833,Claude_Code,feat,9,0
3246764807,Claude_Code,feat,9,0
3246796582,Claude_Code,fix,9,0
3262310380,Claude_Code,refactor,10,1
3262649320,Claude_Code,fix,10,0
3263199127,Claude_Code,fix,10,0
3263692368,Claude_Code,fix,10,0
3263934382,Claude_Code,feat,10,1
3098322647,Claude_Code,feat,10,0
3098972655,Claude_Code,chore,10,1
3142181649,Claude_Code,feat,9,0
3142373237,Claude_Code,feat,10,0
3144015338,Claude_Code,fix,10,1
3145238894,Claude_Code,feat,10,1
3145249026,Claude_Code,feat,10,1
3145923591,Claude_Code,feat,10,0
3146518192,Claude_Code,ci,9,0
3146561196,Claude_Code,feat,10,0
3165597086,Claude_Code,feat,10,0
3165662397,Claude_Code,feat,10,0
3165677582,Claude_Code,refactor,10,0
3165750951,Claude_Code,feat,10,0
3199027461,Claude_Code,feat,10,0
3199564335,Claude_Code,fix,10,0
3199623142,Claude_Code,feat,10,0
3200679276,Claude_Code,perf,9,0
3200698874,Claude_Code,feat,10,1
3200946614,Claude_Code,fix,10,0
3201567268,Claude_Code,feat,10,0
3202135682,Claude_Code,fix,10,0
3202692899,Claude_Code,feat,10,1
3203032594,Claude_Code,fix,10,1
3250080019,Claude_Code,fix,10,1
3250173556,Claude_Code,feat,9,0
3250200794,Claude_Code,refactor,10,0
3250235391,Claude_Code,feat,9,0
3250272016,Claude_Code,docs,10,0
3250477735,Claude_Code,perf,9,0
3250746691,Claude_Code,feat,10,0
3251370397,Claude_Code,feat,10,0
3251544513,Claude_Code,feat,10,0
3251609070,Claude_Code,feat,10,1
3107321792,Claude_Code,fix,10,1
3109706862,Claude_Code,fix,10,0
3109791380,Claude_Code,fix,10,1
3111420697,Claude_Code,feat,10,1
3112345209,Claude_Code,docs,10,0
3114327280,Claude_Code,refactor,9,0
3115027048,Claude_Code,feat,10,1
3115558470,Claude_Code,feat,9,1
3115760621,Claude_Code,fix,10,0
3116600521,Claude_Code,feat,10,0
3181506569,Claude_Code,feat,10,1
3181578456,Claude_Code,fix,10,0
3245454530,Claude_Code,feat,10,1
3245456977,Claude_Code,chore,10,0
3245466752,Claude_Code,fix,10,0
3245552368,Claude_Code,fix,9,0
3245584783,Claude_Code,feat,10,1
3245668511,Claude_Code,fix,10,1
3245746342,Claude_Code,refactor,9,0
3245809034,Claude_Code,feat,9,0
3258872453,Claude_Code,fix,10,0
3258945821,Claude_Code,feat,10,1
3259580896,Claude_Code,feat,10,1
3260232103,Claude_Code,feat,10,0
3260236912,Claude_Code,feat,10,1
3260720963,Claude_Code,feat,10,1
3260887009,Claude_Code,fix,10,0
3187718516,Claude_Code,feat,10,0
3188858394,Claude_Code,feat,10,1
3188865855,Claude_Code,feat,10,1
3189507528,Claude_Code,feat,10,1
3190199796,Claude_Code,feat,9,0
3190390949,Claude_Code,fix,10,0
3086930190,Claude_Code,feat,10,0
3088173646,Claude_Code,feat,10,0
3088176007,Claude_Code,feat,10,0
3088611576,Claude_Code,feat,10,0
3090065215,Claude_Code,feat,10,1
3091332769,Claude_Code,feat,10,0
3094661465,Claude_Code,feat,9,0
3132739442,Claude_Code,feat,9,0
3132983801,Claude_Code,refactor,9,0
3133058562,Claude_Code,feat,10,1
3133399556,Claude_Code,feat,10,0
3133544722,Claude_Code,fix,10,0
3135266974,Claude_Code,feat,10,0
3136804156,Claude_Code,feat,9,0
3138027382,Claude_Code,feat,10,1
3138117853,Claude_Code,feat,10,0
3138222448,Claude_Code,feat,10,1
3138264959,Claude_Code,fix,10,0
3138362649,Claude_Code,feat,10,1
3138387778,Claude_Code,feat,10,1
3139315341,Claude_Code,feat,10,1
3140025663,Claude_Code,fix,10,1
3140073726,Claude_Code,feat,10,0
3141541564,Claude_Code,feat,9,0
3203754242,Claude_Code,feat,10,0
3203856259,Claude_Code,docs,10,0
3203910456,Claude_Code,feat,10,0
3204479528,Claude_Code,fix,9,0
3204637024,Claude_Code,feat,10,0
3204772289,Claude_Code,feat,10,1
3204784776,Claude_Code,docs,10,1
3204995137,Claude_Code,feat,10,0
3205273752,Claude_Code,feat,10,1
3205734508,Claude_Code,feat,9,0
3205839196,Claude_Code,feat,10,1
3205893657,Claude_Code,feat,8,0
3246950577,Claude_Code,fix,10,0
3247725112,Claude_Code,docs,10,0
3248139288,Claude_Code,docs,10,1
3248210397,Claude_Code,feat,10,0
3248259820,Claude_Code,fix,10,0
3248781517,Claude_Code,feat,10,0
3249619721,Claude_Code,feat,10,1
3250024089,Claude_Code,feat,10,1
3175209026,Claude_Code,fix,10,0
3176357483,Claude_Code,ci,9,0
3176421116,Claude_Code,ci,9,0
3176427591,Claude_Code,ci,9,0
3177654490,Claude_Code,feat,10,0
3178007458,Claude_Code,feat,10,1
3179729495,Claude_Code,feat,10,1
3243533799,Claude_Code,feat,9,0
3244853040,Claude_Code,fix,10,0
3244896143,Claude_Code,chore,9,0
3245011006,Claude_Code,feat,10,0
3245161961,Claude_Code,feat,10,1
3245313058,Claude_Code,fix,10,0
3245346788,Claude_Code,feat,10,0
3266170682,Claude_Code,feat,10,1
3266316354,Claude_Code,feat,10,1
3266626830,Claude_Code,fix,10,0
3266763733,Claude_Code,feat,10,1
3267110060,Claude_Code,fix,9,1
3226800461,Claude_Code,feat,10,1
3229176248,Claude_Code,feat,9,0
3229333583,Claude_Code,fix,10,0
3229710961,Claude_Code,feat,9,0
3229732955,Claude_Code,feat,10,1
3230307499,Claude_Code,feat,10,0
3230351703,Claude_Code,fix,10,0
3159415433,Claude_Code,fix,10,1
3160495699,Claude_Code,feat,10,0
3160647911,Claude_Code,feat,10,1
3160653118,Claude_Code,feat,10,1
3160894112,Claude_Code,feat,10,0
3161355858,Claude_Code,feat,10,1
3161358535,Claude_Code,feat,10,0
3163243464,Claude_Code,fix,10,0
3164250713,Claude_Code,feat,10,1
3164258008,Claude_Code,feat,10,0
3164310340,Claude_Code,feat,10,0
3274362044,Claude_Code,feat,9,1
3274741142,Claude_Code,feat,10,1
3274969873,Claude_Code,fix,10,1
3275029115,Claude_Code,fix,9,0
3275097396,Claude_Code,feat,9,1
3275134373,Claude_Code,feat,10,0
3275149041,Claude_Code,feat,9,1
3275367954,Claude_Code,feat,10,0
3275448809,Claude_Code,feat,10,1
3275455685,Claude_Code,feat,10,1
3275609390,Claude_Code,fix,10,0
3276585540,Claude_Code,feat,10,0
3276605733,Claude_Code,feat,9,0
3253582273,Claude_Code,docs,8,0
3254261062,Claude_Code,feat,8,0
3254644542,Claude_Code,docs,10,1
3254647682,Claude_Code,perf,9,0
3254649795,Claude_Code,feat,9,0
3255142482,Claude_Code,refactor,10,0
3196885081,Claude_Code,refactor,9,0
3197344409,Claude_Code,feat,10,0
3197436829,Claude_Code,fix,9,1
3197484474,Claude_Code,refactor,9,0
3197644488,Claude_Code,docs,10,0
3166199077,Claude_Code,feat,10,1
3166521009,Claude_Code,feat,10,1
3166710563,Claude_Code,feat,10,0
3166880168,Claude_Code,refactor,9,0
3167450477,Claude_Code,feat,10,0
3168125372,Claude_Code,feat,9,0
3168142663,Claude_Code,build,9,1
3147421099,Claude_Code,feat,10,0
3147721605,Claude_Code,feat,10,0
3150229181,Claude_Code,fix,10,0
3150240545,Claude_Code,feat,10,1
3150393125,Claude_Code,refactor,9,0
3151360963,Claude_Code,fix,9,1
3207894445,Claude_Code,fix,10,0
3207905993,Claude_Code,feat,9,0
3207910026,Claude_Code,feat,9,0
3207914894,Claude_Code,feat,9,1
3207921071,Claude_Code,refactor,9,1
3208559377,Claude_Code,fix,9,0
3208990831,Claude_Code,feat,10,0
3209373025,Claude_Code,feat,10,0
3209723205,Claude_Code,fix,10,0
3210688776,Claude_Code,test,10,0
3210837112,Claude_Code,fix,9,0
3211505201,Claude_Code,feat,9,1
3212206965,Claude_Code,feat,10,1
3212218608,Claude_Code,fix,10,0
3212306696,Claude_Code,fix,10,1
3184725856,Claude_Code,fix,10,1
3184850059,Claude_Code,refactor,10,0
3185547207,Claude_Code,feat,10,0
3185859728,Claude_Code,feat,10,0
3118662815,Claude_Code,fix,10,0
3119417980,Claude_Code,feat,10,1
3119750112,Claude_Code,fix,10,0
3120774449,Claude_Code,feat,10,0
3120813048,Claude_Code,fix,10,0
3124189482,Claude_Code,docs,10,0
3124293906,Claude_Code,feat,10,0
3124372773,Claude_Code,feat,10,0
3124595999,Claude_Code,feat,10,0
3105926969,Claude_Code,feat,10,1
3234650797,Claude_Code,feat,9,0
3234660269,Claude_Code,fix,10,0
3235103212,Claude_Code,feat,10,1
3235395709,Claude_Code,fix,10,0
3235659006,Claude_Code,feat,10,0
3235820229,Claude_Code,feat,10,1
3237343612,Claude_Code,fix,10,1
3222268735,Claude_Code,feat,10,0
3223177403,Claude_Code,refactor,9,0
3223924413,Claude_Code,fix,10,1
3224085262,Claude_Code,feat,10,0
3269032263,Claude_Code,feat,9,1
3269703997,Claude_Code,fix,10,1
3269741497,Claude_Code,feat,10,0
3269831635,Claude_Code,fix,10,1
3269888763,Claude_Code,fix,10,1
3270842985,Claude_Code,fix,10,1
3271014961,Claude_Code,feat,10,1
3271045504,Claude_Code,refactor,9,1
3271050710,Claude_Code,fix,10,0
3271081741,Claude_Code,feat,9,1
2903936265,Claude_Code,feat,9,0
2905670458,Claude_Code,feat,9,0
2905716327,Claude_Code,refactor,10,0
2905748105,Claude_Code,refactor,10,0
2908771855,Claude_Code,feat,9,0
2909640593,Claude_Code,feat,10,0
2912546402,Claude_Code,feat,9,1
2914277614,Claude_Code,fix,9,0
2914376188,Claude_Code,feat,9,0
